_MP_SPACE_REACH;Batalla sobre Reach
TEXT_EXPL_BOARDING_SEC;Mecánico de abordaje:
TEXT_EXPL_WELCOME;Bienvenido a la Página que Explica: ¡Nuevas Mecánicas y cómo funciona la IA!
TEXT_FACTION_INSURRECTIONISTS;Insurreccionistas
TEXT_FACTION_SWORDS;Desterrado
TEXT_HALO_ARCHER_PLATFORM;Plataforma Cápsula Archer
TEXT_HALO_ARCHER_PLATFORM_ENC;Plataforma pequeña que dispara cápsulas Archer de nivel medio, cazas de daño ligero a medio contra corbetas y fragatas.
TEXT_HALO_CAMPAIGN_EVOLVED;Combat Evolved
TEXT_HALO_CAMPAIGN_EVOLVED_ENC;Campaña Estándar \n Juega como Covenant o U.N.S.C y completa tu dominación a través del Universo Halo \n 50 Planetas \n Sin Opciones
TEXT_HALO_CAMPAIGN_RANDOM;Campaña de Comienzo aleatorio
TEXT_HALO_CAMPAIGN_RANDOM_ENC;Comienzo aleatorio \n Juega como el Covenant o la U.N.S.C, ambos comienzan con 1 planeta \n Contiene las Subfacciones Insurrectos y Espada de Sanghelios
TEXT_HALO_ECONOMY_UPKEEP_95;Mantenimiento: 95 Cr/Día
TEXT_HALO_FARM_ENC;Proporciona alimentos a los ciudadanos del planeta, sin ellos, pueden llegar a ser infelices.
TEXT_HALO_FARM_ENC_DELETE;Deconstruir la granja sobre el planeta
TEXT_HALO_HWD;Investigación sobre el desarrollo de armas pesadas
TEXT_HALO_HWD_ENC;La investigación del desarrollo de armamento pesado permite la construcción de naves tipo ORS, CPV y CAS, y continúa el progreso hacia la construcción del supercargueros CSO.
TEXT_HALO_MK33_PLATFORM;Plataforma de defensa MK33
TEXT_HALO_MK33_PLATFORM_ENC;La plataforma de defensa MK33 es una plataforma pequeña y ligera diseñada para defenderse de naves más ligeras como cazas, corbetas y fragatas. No es resistente, pero tiene potencia de fuego.
TEXT_HALO_PLASMA_PLATFORM;Plataforma de plasma Covenant
TEXT_HALO_PLASMA_PLATFORM_ENC;La Plataforma de Plasma dispara una Ráfaga Rápida de Plasma a cualquier objetivo situado a una distancia media.
TEXT_HALO_PROVIDES_LOYALTY;Proporciona un 5% de lealtad al planeta por día.
TEXT_HALO_SMAC_PLATFORM;Plataforma SMAC de la U.N.S.C.
TEXT_HALO_SMAC_PLATFORM_ENC;La Plataforma SMAC dispara un proyectil MAC más pequeño con un radio de ataque largo.
TEXT_HALO_UNSC_FARM;Granja planetaria
TEXT_HALO_UNSC_FARM_DELETE;Eliminar estructura de cultivo
TEXT_LONGSWORD_SQUADRON;Escuadrón Longsword
TEXT_MINING_FACILITY_CAMPAIGN;Funcionando como un puesto de avanzada atmosférico, esta unidad facilita el intercambio fluido de mercancías, sirviendo de centro neurálgico para las transacciones comerciales y permitiendo un transporte eficiente entre compradores y vendedores.
TEXT_MINING_FACILITY_CAMPAIGN_DELETE;Eliminar una instalación minera de este planeta
TEXT_MINING_FACILITY_CAMPAIGN_INCOME;Proporciona créditos en el planeta actual y una bonificación en los planetas ricos en recursos.
TEXT_ORBITAL_DEFENSE_SATELLITE_TORPEDO_COVN;Plataforma de torpedos de plasma
TEXT_PLANET_AKTIS_4_INFO_HIS;Aktis IV, etiquetado provisionalmente, es un planeta situado más allá de las Colonias Exteriores humanas dentro del sistema Aktis, hasta ahora no descubierto por el Gobierno Unificado de la Tierra. Con unas condiciones superficiales propicias para la habitación humana, Aktis IV presenta un intrigante paisaje dominado por vastas extensiones de océano adornadas con islas continentales dispersas. Sin embargo, la enigmática naturaleza de los océanos del planeta, caracterizados por una sustancia opaca y espumosa de composición no identificada, plantea un desafío para el análisis por radar, envolviendo sus misterios en el secreto.
TEXT_PLANET_ALERIA_INFO_ADV;Sin ventaja planetaria
TEXT_PLANET_ALERIA_INFO_HIS;Aleria, también llamada Elduros II, ocupa la órbita más exterior del sistema Elduros y funciona como una colonia exterior empobrecida en los márgenes de la expansión humana. Antiguamente conocida por sus abundantes reservas de mineral y su floreciente economía, Aleria ha caído en la desesperación debido al deterioro del clima y a la mala gestión gubernamental, lo que ha culminado en un colapso económico.
TEXT_PLANET_ALERIA_INFO_POP;Mundo exterior de colonias humanas
TEXT_PLANET_ALERIA_INFO_TAC;Sin ventaja táctica
TEXT_PLANET_ALERIA_INFO_TER;Mundo seco y desolado
TEXT_PLANET_ALERIA_INFO_WEA;Seco y caluroso
TEXT_PLANET_ALERIA_INFO_WL;Ninguna
TEXT_PLANET_ALLUVION_INFO_ADV;Producción de naves de mayor tamaño
TEXT_PLANET_ALLUVION_INFO_HIS;Alluvion, también conocido como Bhaakto III, es el tercer cuerpo celeste del sistema Bhaakto y funciona como una colonia exterior humana gobernada por el Gobierno Unificado de la Tierra. Alrededor de Alluvion orbitan los satélites naturales Fallow y Falgo. Inicialmente repleta de millones de habitantes, Alluvion sufrió la devastación durante la Guerra Humano-Covenant en 2543, cuando fue sometida al acristalamiento por parte del Covenant. Sin embargo, en 2554, Alluvion se sometió a los esfuerzos de recolonización, marcando un testimonio de la resistencia de la humanidad frente a la adversidad.
TEXT_PLANET_ALLUVION_INFO_POP;Mundo humano densamente poblado
TEXT_PLANET_ALLUVION_INFO_TAC;Mundo densamente poblado y estrechamente vinculado al UNSC.
TEXT_PLANET_ALLUVION_INFO_TER;Un mundo tropical con vastos océanos.
TEXT_PLANET_ALLUVION_INFO_WEA;Clima tropical
TEXT_PLANET_ALLUVION_INFO_WL;No se sabe mucho
TEXT_PLANET_ARCADIA_INFO_ADV;Combate urbano
TEXT_PLANET_ARCADIA_INFO_HIS;Arcadia, el cuarto planeta del sistema Procyon, cuenta con dos satélites naturales conocidos como Gihon y Pishon. Colonizada en el año 2429, Arcadia emergió como una vibrante colonia exterior bajo la gobernanza del Gobierno Unificado de la Tierra, albergando una población cercana a los tres millones de almas. Conocida por sus exuberantes selvas y verdes bosques, Arcadia se convirtió en un codiciado destino turístico, cautivando a los visitantes con su esplendor y encanto natural.
TEXT_PLANET_ARCADIA_INFO_POP;Colonia mundial próspera
TEXT_PLANET_ARCADIA_INFO_TAC;Grandes centros urbanos, con varios complejos militares.
TEXT_PLANET_ARCADIA_INFO_TER;Tropical, con frondosos bosques y una Jungla que controla la mayor parte de la superficie.
TEXT_PLANET_ARCADIA_INFO_WEA;Despejado
TEXT_PLANET_ARCADIA_INFO_WL;Sin describir
TEXT_PLANET_BALAHO_INFO_ADV;Ninguno
TEXT_PLANET_BALAHO_INFO_HIS;Balaho, alternativamente reconocido como Tala IV, es el planeta nativo de la especie Unggoy, situado como cuarto cuerpo celeste que gira alrededor de la estrella azul Tala. Caracterizado por una atmósfera abundante en metano, Balaho está acompañado en su órbita por dos satélites naturales, Buwan y Padpad. A pesar de su hostilidad y frigidez inherentes, el planeta cuenta con marismas salobres y numerosos pantanos, aunque su hospitalidad disminuye con el tiempo debido a la degradación medioambiental.
TEXT_PLANET_BALAHO_INFO_POP;Mundo natal de los Unggoy
TEXT_PLANET_BALAHO_INFO_TAC;Los Unggoy son de bajo nivel en el Covenant y se utilizan como grunts.
TEXT_PLANET_BALAHO_INFO_TER;La mayor parte del planeta está cubierta de hielo, con algunas zonas de mareas, marismas y cadenas montañosas.
TEXT_PLANET_BALAHO_INFO_WEA;Vientos helados
TEXT_PLANET_BALAHO_INFO_WL;Hogar de varios artrópodos, otros invertebrados y depredadores mortales para los Unggoy.
TEXT_PLANET_BHEDALON_INFO_HIS;Bhedalon, un formidable mundo fortaleza de los Sangheili, fue utilizado por el Covenant como una importante sede de poder. Sin embargo, con el estallido del Gran Cisma y la consiguiente disolución del Covenant, la confusión se apoderó de Bhedalon. El conflicto que siguió dejó un rastro de devastación por todo el planeta, que provocó una gran destrucción y vastos campos de escombros por toda su superficie. Gran parte del valor inherente de Bhedalon se perdió tras el Gran Cisma, ya que importantes bienes y recursos se hundieron en las profundidades de sus océanos, haciéndolos inaccesibles.
TEXT_PLANET_CHARYBDIS_IX_INFO_HIS;Charybdis IX, una valiosa colonia exterior humana situada en el sistema Charybdis, dependía del Gobierno Unificado de la Tierra. En su centro se encontraba la capital, Scyllion, que servía de bullicioso centro de gobierno y comercio para los habitantes del planeta.
TEXT_PLANET_CHI_CETI_IV_INFO_HIS;Chi Ceti IV, reconocido por el Covenant como Chelav, es una colonia exterior humana ubicada en el sistema Chi Ceti, con un par de satélites naturales en órbita. Dentro del sistema, una lejana nebulosa roja se suma al paisaje celeste. En particular, el planeta alberga una instalación encubierta en su superficie conocida como el Centro de Pruebas de Materiales de Damasco, situado en Vhalkem. En esta instalación se lograron avances revolucionarios, como el desarrollo del armadura Mark IV MJOLNIR y la variante MJOLNIR EOD.
TEXT_PLANET_CODISFOLD_INFO_HIS;Codisfold, que en su día fue una próspera colonia Sangheili, fue testigo de un capítulo desgarrador durante la Guerra de los Comienzos. Descubierto por los reformistas San'Shyuum, el planeta sufrió un destino devastador cuando su población de millones de Sangheili fue erradicada sistemáticamente.
TEXT_PLANET_DOISAC_INFO_ADV;Con las duras condiciones del planeta, sólo los jiralhanae son los más adecuados.
TEXT_PLANET_DOISAC_INFO_HIS;Doisac, designado como CE-75-2113 c en los registros Forerunner, ocupaba la tercera posición orbital dentro del sistema Oth Sonin, sirviendo como hogar ancestral de la especie Jiralhanae. Este formidable planeta contaba con tres satélites naturales: Warial, Soirapt y Teash.
TEXT_PLANET_DOISAC_INFO_POP;Mundo natal de los Jiralhanae
TEXT_PLANET_DOISAC_INFO_TAC;Los jiralhanae son guerreros fuertes, con muchos en el planeta.
TEXT_PLANET_DOISAC_INFO_TER;Cubierto de rocas, bosques y desiertos, con poca agua repartida por todo el planeta.
TEXT_PLANET_DOISAC_INFO_WEA;Alta temperatura
TEXT_PLANET_DOISAC_INFO_WL;Varios depredadores a los jiralhanae
TEXT_PLANET_EARTH_ENC;"La Tierra, también conocida como Sol III, reconocida en la era Forerunner como ""Erde-Tyrene"" es el tercer planeta y uno de los cuatro mundos terrestres del sistema Sol. Es el mundo natal de la especie humana, la actual capital del Gobierno Unificado de la Tierra y la sede del Mando Espacial de las Naciones Unidas (UNSC)."
TEXT_PLANET_EARTH_INFO_ADV;Cantidades masivas de bases militares del UNSC.
TEXT_PLANET_EARTH_INFO_HIS;"La Tierra, también conocida como Sol III, reconocida en la era Forerunner como ""Erde-Tyrene"" es el tercer planeta y uno de los cuatro mundos terrestres del sistema Sol. Es el mundo natal de la especie humana, la actual capital del Gobierno Unificado de la Tierra y la sede del Mando Espacial de las Naciones Unidas (UNSC)."
TEXT_PLANET_EARTH_INFO_POP;Anfitrión masivo de una población humana.
TEXT_PLANET_EARTH_INFO_TAC;Mundo anfitrión para los humanos
TEXT_PLANET_EARTH_INFO_TER;Desde playas hasta montañas.
TEXT_PLANET_EARTH_INFO_WEA;Despejado, Lluvia.
TEXT_PLANET_EARTH_INFO_WL;Grandes cantidades de flora y fauna diversas.
TEXT_PLANET_EAYN_INFO_HIS;Eayn, el principal satélite natural que rodea Chu'ot, que a su vez es el tercer planeta del sistema Y'Deio, es el mundo ancestral de la especie Kig-Yar. Situado en la región interior del vasto cinturón de asteroides del sistema Y'Deio, Eayn se encuentra en medio de una plétora de planetoides, lunas y asteroides que muchos Kig-Yar llaman hogar.
TEXT_PLANET_ERIDANUS_2_INFO_HIS;Eridanus II, situado dentro del sistema Eridanus, surgió como un sereno mundo de colonias exteriores caracterizado por sus paisajes rurales, libres de contaminación y hacinamiento, y unas condiciones meteorológicas meticulosamente reguladas. Conocido por sus pintorescos paisajes y sus prestigiosas instituciones de enseñanza superior, Eridanus II atraía a personas en busca de tranquilidad y conocimiento. En particular, el planeta albergaba las ciudades de Luxor y Elysium City, que sirvieron de lugar de crianza para figuras notables como John-117, que más tarde fue reclutado para el programa SPARTAN-II en 2517. Emile-A239 procedía de Luxor, su lugar de nacimiento en el año 2523.
TEXT_PLANET_FALAKNUMA_ENC;Falaknuma es un planeta del sistema 18 Scorpii y una colonia interior humana del Gobierno Unificado de la Tierra.
TEXT_PLANET_FALAKNUMA_INFO_HIS;Falaknuma es un planeta del sistema 18 Scorpii y una colonia interior humana del Gobierno Unificado de la Tierra.
TEXT_PLANET_FALAKNUMA_INFO_POP;Colonia humana interior
TEXT_PLANET_FALAKNUMA_INFO_WL;No se sabe mucho
TEXT_PLANET_FAR_ISLE_INFO_ADV;Mundo Colonia
TEXT_PLANET_FAR_ISLE_INFO_HIS;Far Isle, situada como planeta colonia humana dentro del territorio del Gobierno Unificado de la Tierra, lleva el trágico legado de una de las atrocidades más infames del Mando Espacial de las Naciones Unidas (UNSC). Tras una rebelión en 2492 que desafió los esfuerzos de supresión, el UNSC recurrió a medidas drásticas, aniquilando la colonia con armas nucleares, lo que provocó la pérdida de todos sus habitantes y no dejó supervivientes.
TEXT_PLANET_FAR_ISLE_INFO_POP;Hogar de humanos, sin embargo, un gran grupo no es fanático del UNSC.
TEXT_PLANET_FAR_ISLE_INFO_TAC;Sistema exterior
TEXT_PLANET_FAR_ISLE_INFO_TER;Una superficie Terra normal.
TEXT_PLANET_FAR_ISLE_INFO_WEA;Lluvia.
TEXT_PLANET_FAR_ISLE_INFO_WL;No descrito
TEXT_PLANET_FELDOKRA_INFO_HIS;Feldokra fue colonizada por los grandes clanes marinos del pasado Sangheili, liderados por incondicionales kaidons que construyeron sus hogares sobre las aguas. Los habitantes de Feldokra son Sangheili fuertes y rudos, que prefieren la aventura y la belleza del mar abierto a la mundanidad de la vida terrestre. Con el tiempo, el Covenant desarrolló estructuras enermas por toda la superficie del mundo, ciudadelas militares que servirían al más alto escalón del personal militar, sólo superadas por las propias torres de la Alta Caridad. Durante la construcción, las investigaciones de los San'Shyuum revelaron lo que los Sangheili no habían descubierto
TEXT_PLANET_GAO_INFO_HIS;Gao presenta un paisaje pintoresco, envuelto en exuberantes selvas que dominan su terreno. Cuando se observa desde el espacio, el planeta muestra un tono verde moteado, que va cambiando gradualmente a gris en sus polos, caracterizados por vastos desiertos. En las verdes selvas y cavernas de Gao prospera un ecosistema diverso y vibrante, repleto de una plétora de especies autóctonas como saurios, salamandras, idjoms, jungaloons, serpientes de lazo, caracoles sin concha, dragones de la selva moteados y peces brillantes. Mientras tanto, las regiones polares del planeta son el hogar de los imponentes grandes simios grises, que se suman a la riqueza y diversidad del mundo natural de Gao.
TEXT_PLANET_GLYKE_INFO_HIS;Glyke, venerado como la Esfera de la Alabanza por los Profetas, sirvió como mundo colonia Sangheili hasta su trágica desaparición a manos de los Spartan-II del Equipo Gris. Este catastrófico suceso ocurrió pocos días después de la formalización del tratado entre el Gobierno Unificado de la Tierra y la Flota de la Retribución.
TEXT_PLANET_GLYKE_INFO_POP;Hogar de grandes cantidades de Sangheili
TEXT_PLANET_GLYKE_INFO_TAC;Aunque Glyke tiene una población civil Sangheili, fue un importante planeta de construcción naval para el Covenant, que alberga una importante población militar.
TEXT_PLANET_GLYKE_INFO_TER;Se dice que contiene ríos fuertes y fortalezas arenosas. Las fortalezas arenosas son los hogares ancestrales de los Sangheili y se representan como casas talladas en las laderas de rocas altas.
TEXT_PLANET_GLYKE_INFO_WEA;Fuertes vientos atronadores.
TEXT_PLANET_GLYKE_INFO_WL;Aunque es el hogar de los Sangheili, no se sabe que haya mucho más que viva entre ellos.
TEXT_PLANET_HARMONY_ENC;Harmony era una colonia humana situada entre las Colonias Internas. El planeta fue acristalado por el Covenant en 2552. No está relacionado con Nueva Harmony, otra colonia humana.
TEXT_PLANET_HARMONY_INFO_HIS;Harmony era una colonia humana situada entre las Colonias Internas. El planeta fue acristalado por el Covenant en 2552. No está relacionado con Nueva Harmony, otra colonia humana.
TEXT_PLANET_HARVEST_INFO_HIS;Harvest, también identificada como Epsilon Indi IV y designada CE-309-8 d por los Forerunners, tuvo importancia como Colonia Exterior humana fundamental, establecida inicialmente como un mundo crucial «granero». Su colonización en 2468 por el Skidbladnir de la UNSC marcó un hito, ya que se convirtió en la colonia más remota de la época. Situada en el sistema Epsilon Indi, Harvest desgraciadamente se ganó la triste distinción de ser el primer planeta humano descubierto y devastado por el Covenant. Tras un primer encuentro catastrófico, el planeta fue víctima del acristalamiento del Covenant, aunque la mayoría de su población consiguió escapar a bordo de cargueros.
TEXT_PLANET_INSTALLATION_05_INFO_HIS;La Instalación 05, comúnmente conocida como Delta Halo, se erige como uno de los colosales mundos fortaleza de Halo construidos meticulosamente por los Forerunners. Inicialmente supervisado por el monitor 2401 Penitent Tangent, el anillo enfrentó un punto de inflexión crítico cuando su negligencia permitió que el Flood violara su contención. Ubicada dentro del sistema Coelest, la Instalación 05 orbita alrededor de Substance, un gigante de hielo que ocupa la cuarta posición orbital dentro del sistema. Situada dentro del Brazo Norma de la galaxia de la Vía Láctea, la Instalación 05 tiene un papel fundamental en la intrincada red de construcciones Forerunner.
TEXT_PLANET_KAMCHATKA_INFO_HIS;Kamchatka, también designado como Caspar V, ocupa la quinta posición orbital dentro del sistema Caspar. Originalmente creado por los Forerunners, este mundo remoto desempeñó una doble función como complejo de rehabilitación para los Trabajadores de la Vida y como nodo central del Dominio para la ecumene. Sin embargo, tras la activación del Halo Array, Kamchatka cayó en el olvido y permaneció en las afueras de la civilización hasta su redescubrimiento en 2558.
TEXT_PLANET_KARAVA_INFO_ADV;Bosques frondosos
TEXT_PLANET_KARAVA_INFO_HIS;En algún momento de su historia, Karava fue el hogar de una civilización no identificada. Esta especie fue descubierta por el Covenant, que exigió a la civilización que se sometiera al imperio. Ante su negativa, el Covenant desplegó trescientos bombarderos Gigas de patrón-N'weo para aniquilar por completo a la especie en el planeta, genocidándola por completo. Posteriormente, el planeta fue colonizado y se convirtió en uno de los mundos diezmados del imperio.
TEXT_PLANET_KARAVA_INFO_POP;Con su población nativa aniquilada, se convirtió en un pequeño planeta colonia Sangheili.
TEXT_PLANET_KARAVA_INFO_TAC;El planeta se encuentra entre el espacio en disputa
TEXT_PLANET_KARAVA_INFO_TER;Plantas exuberantes y otra flora verde cubren sus Montañas
TEXT_PLANET_KARAVA_INFO_WEA;Despejado
TEXT_PLANET_KARAVA_INFO_WL;Desconocido
TEXT_PLANET_KHAELMOTHKA_INFO_HIS;"Khael'mothka, descrita como una colonia fronteriza Sangheili ""agresiva"", se encuentra en las afueras del complejo de mundos primarios Sangheili, simbolizando un límite entre las regiones conocidas y desconocidas del territorio Sangheili."
TEXT_PLANET_KOSTRODA_INFO_HIS;Kostroda, conocida como Servicio Duradero en la lengua común, es una luna pantanosa ubicada en el sistema Mis'Fah, perteneciente al Covenant. Envuelta en niebla y misterio, alberga un próspero ecosistema entre sus turbios pantanos y enmarañados bosques.
TEXT_PLANET_MADRIGAL_INFO_HIS;Madrigal floreció como una vibrante colonia exterior humana ubicada dentro del sistema 23 Librae, disfrutando de la distinción de ser el único planeta dentro de la zona habitable de la estrella. En cuanto a proximidad, ocupó la posición más cercana a Harvest en 2525. Trágicamente, en 2528, Madrigal sufrió el mismo destino que Harvest, convirtiéndose en otra víctima más en la lista de colonias humanas sometidas a la cristalización por parte del Covenant.
TEXT_PLANET_MARS_ENC;Marte, alternativamente conocido como Sol IV y reconocido como Edom en la antigua era de los Forerunner, orbita como el cuarto mundo terrestre dentro del sistema Sol. Pionero en la era de la colonización interplanetaria humana, Marte se erige como piedra angular de la destreza industrial, presumiendo de ser uno de los mayores centros industriales del sistema Solar. Marte, principal astillero de la Armada de la UNSC y cuartel general de las Tropas de Choque Orbitales en la ciudad de Kenosha (Tanais), personifica la ambición de la humanidad más allá de los límites de la Tierra.
TEXT_PLANET_MARS_INFO_HIS;Marte, alternativamente conocido como Sol IV y reconocido como Edom en la antigua era de los Forerunner, orbita como el cuarto mundo terrestre dentro del sistema Sol. Pionero en la era de la colonización interplanetaria humana, Marte se erige como piedra angular de la destreza industrial, presumiendo de ser uno de los mayores centros industriales del sistema Solar. Marte, principal astillero de la Armada de la UNSC y cuartel general de las Tropas de Choque Orbitales en la ciudad de Kenosha (Tanais), personifica la ambición de la humanidad más allá de los límites de la Tierra.
TEXT_PLANET_MERIDIAN_INFO_HIS;Meridian, conocida por los Forerunners como Pridarea Libatoa, surgió como una dinámica colonia exterior humana, ubicada como séptimo satélite natural en órbita alrededor del gigante gaseoso Hestia V, dentro del sistema de Hestia. A pesar de su posición al margen del territorio explorado por los humanos, Meridian prosperó como una colonia próspera y bulliciosa, con una economía floreciente y una población considerable. Entre las industrias más destacadas de la luna se encontraban la minería y la producción militar, que satisfacían las necesidades del Mando Espacial de las Naciones Unidas (UNSC). Caracterizada inicialmente por su exuberante vegetación, Meridian gozaba de un clima templado y tierras fértiles, lo que aumentaba su atractivo como hábitat deseable dentro del cosmos.
TEXT_PLANET_MIRIDEM_ENC;Miridem, una preciada Colonia Interior bajo el estandarte del Gobierno Unificado de la Tierra, se erigió como testamento de la resistencia humana en el cosmos. A pesar de su tamaño relativamente modesto en comparación con las colonias del sistema Solar y Epsilon Eridani, Miridem prosperó como un mundo central robusto y densamente poblado, encarnando la fuerza y el espíritu de la expansión de la humanidad hacia las estrellas.
